indicator,topic,source
Beneficiaries' per capita transfer held by 2nd 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - In-Kind,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - other SSN,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - other SSN,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Public Works,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Public Works,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - School-feeding,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Social Pension,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Social Security,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Social Security,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 2nd 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - In-Kind,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - other SSN,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - other SSN,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Public Works,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Public Works,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - School-feeding,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Social Pension,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Social Security,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Social Security,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 3rd 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - In-Kind,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - other SSN,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - other SSN,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Public Works,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Public Works,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - School-feeding,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Social Pension,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Social Security,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Social Security,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 4th 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - In-Kind,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - other SSN,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - other SSN,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Public Works,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Public Works,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - School-feeding,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Social Pension,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Social Security,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Social Security,Labor & Social Protection ,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
Beneficiaries' per capita transfer held by 5th 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),Millenium development goals,Millennium Development Goals
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",Millenium development goals,Millennium Development Goals
"Binding coverage, all products (%)",Private Sector,World Development Indicators
"Binding coverage, manufactured products (%)",Private Sector,World Development Indicators
"Binding coverage, primary products (%)",Private Sector,World Development Indicators
"Bird species, threatened",Environment,World Development Indicators
"Bird species, threatened",Environment ,World Development Indicators
"Birth rate, crude (per 1,000 people)",Health,World Development Indicators
"Birth rate, crude (per 1,000 people)",Health ,World Development Indicators
Births attended by skilled health staff (% of total),Gender,World Development Indicators
Births attended by skilled health staff (% of total),Health,World Development Indicators
Births attended by skilled health staff (% of total),Health ,World Development Indicators
Boone indicator,Financial Sector,Global Financial Development
Boone indicator,Financial Sector ,Global Financial Development
"Borrowers from commercial banks (per 1,000 adults)",Financial Sector,World Development Indicators
"Borrowers from commercial banks (per 1,000 adults)",Financial Sector ,World Development Indicators
"Bound rate, simple mean, all products (%)",Private Sector,World Development Indicators
"Bound rate, simple mean, manufactured products (%)",Private Sector,World Development Indicators
"Bound rate, simple mean, primary products (%)",Private Sector,World Development Indicators
Broad money (% of GDP),Financial Sector,World Development Indicators
Broad money (% of GDP),Financial Sector ,World Development Indicators
Broad money (current LCU),Financial Sector,World Development Indicators
Broad money (current LCU),Financial Sector ,World Development Indicators
Broad money growth (annual %),Financial Sector,World Development Indicators
Broad money growth (annual %),Financial Sector ,World Development Indicators
Broad money to total reserves ratio,Financial Sector,World Development Indicators
Broad money to total reserves ratio,Financial Sector ,World Development Indicators
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",Private Sector,World Development Indicators
Business extent of disclosure index (0=less disclosure to 10=more disclosure),Private Sector,World Development Indicators
Cash surplus/deficit (% of GDP),Economic Policy &  External Debt,World Development Indicators
Cash surplus/deficit (% of GDP),Economic Policy &  External Debt ,World Development Indicators
Cash surplus/deficit (% of GDP),Public Sector,World Development Indicators
Cash surplus/deficit (% of GDP),Public Sector ,World Development Indicators
Cash surplus/deficit (current LCU),Economic Policy &  External Debt,World Development Indicators
Cash surplus/deficit (current LCU),Economic Policy &  External Debt ,World Development Indicators
Central bank assets to GDP (%),Financial Sector,Global Financial Development
Central bank assets to GDP (%),Financial Sector ,Global Financial Development
"Central government debt, total (% of GDP)",Economic Policy &  External Debt,World Development Indicators
"Central government debt, total (% of GDP)",Economic Policy &  External Debt ,World Development Indicators
"Central government debt, total (% of GDP)",Public Sector,World Development Indicators
"Central government debt, total (% of GDP)",Public Sector ,World Development Indicators
"Central government debt, total (current LCU)",Economic Policy &  External Debt,World Development Indicators
"Central government debt, total (current LCU)",Economic Policy &  External Debt ,World Development Indicators
Cereal production (metric tons),Environment,World Development Indicators
Cereal production (metric tons),Environment ,World Development Indicators
Cereal yield (kg per hectare),Agriculture & Rural Development,World Development Indicators
Cereal yield (kg per hectare),Agriculture & Rural Development  ,World Development Indicators
Cereal yield (kg per hectare),Climate Change,World Development Indicators
CGH held by poorest 10% - All Social Insurance,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - All Social Insurance,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - All Social Protection,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - All Social Protection,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - All Social Safety Nets,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Cash Transfer,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Cash Transfer,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Family/Child allowances,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Family/Child allowances,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - In-Kind,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - In-Kind,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Old Age Contributory,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Old Age Contributory,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - other SSN,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - other SSN,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Private Transfers,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Private Transfers,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Public Works,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Public Works,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - School-feeding,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - School-feeding,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Social Pension,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Social Pension,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Social Security,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Social Security,Labor & Social Protection ,Global Social Protection
CGH held by poorest 10% - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
CGH held by poorest 10% - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - All Social Insurance,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - All Social Insurance,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - All Social Protection,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - All Social Protection,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - All Social Safety Nets,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Cash Transfer,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Cash Transfer,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Family/Child allowances,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Family/Child allowances,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - In-Kind,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - In-Kind,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Old Age Contributory,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Old Age Contributory,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - other SSN,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - other SSN,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Private Transfers,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Private Transfers,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Public Works,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Public Works,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - School-feeding,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - School-feeding,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Social Pension,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Social Pension,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Social Security,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Social Security,Labor & Social Protection ,Global Social Protection
CGH held by poorest 20% population - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
CGH held by poorest 20% population - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
"Change in Inventories, constant LCU, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Change in Inventories, constant LCU, millions",Economic Policy &  External Debt ,GEP Economic Prospects
"Change in Inventories, constant US$, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Change in Inventories, constant US$, millions",Economic Policy &  External Debt ,GEP Economic Prospects
"Change in Inventories, current LCU, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Change in Inventories, current LCU, millions",Economic Policy &  External Debt ,GEP Economic Prospects
"Change in Inventories, current US$, millions",Economic Policy &  External Debt,GEP Economic Prospects
"Change in Inventories, current US$, millions",Economic Policy &  External Debt ,GEP Economic Prospects
Changes in inventories (constant LCU),Economic Policy &  External Debt,World Development Indicators
Changes in inventories (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Changes in inventories (current LCU),Economic Policy &  External Debt,World Development Indicators
Changes in inventories (current LCU),Economic Policy &  External Debt ,World Development Indicators
Changes in inventories (current US$),Economic Policy &  External Debt,World Development Indicators
Changes in inventories (current US$),Economic Policy &  External Debt ,World Development Indicators
"Changes in net reserves (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Changes in net reserves (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Charges for the use of intellectual property, payments (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Charges for the use of intellectual property, payments (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Charges for the use of intellectual property, payments (BoP, current US$)",Science & Technology,World Development Indicators
"Charges for the use of intellectual property, payments (BoP, current US$)",Science & Technology ,World Development Indicators
"Charges for the use of intellectual property, receipts (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Charges for the use of intellectual property, receipts (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Charges for the use of intellectual property, receipts (BoP, current US$)",Science & Technology,World Development Indicators
"Charges for the use of intellectual property, receipts (BoP, current US$)",Science & Technology ,World Development Indicators
Checks used to make payments (% age 15+),Financial Sector,Global Findex ( Global Financial Inclusion database)
Checks used to make payments (% age 15+),Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , female (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , female (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , income quintiles I (lowest) and II (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , income quintiles I (lowest) and II (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , income quintiles III, IV, and V (highest) (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , income quintiles III, IV, and V (highest) (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , male (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , male (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , older adults (% age 25+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , older adults (% age 25+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , primary education or less (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , primary education or less (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , rural (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , rural (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , secondary education or more (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , secondary education or more (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , urban (% age 15+)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , urban (% age 15+)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , young adults (% ages 15-24)",Financial Sector,Global Findex ( Global Financial Inclusion database)
"Checks used to make payments , young adults (% ages 15-24)",Financial Sector ,Global Findex ( Global Financial Inclusion database)
Chemicals (% of value added in manufacturing),Economic Policy &  External Debt,World Development Indicators
Chemicals (% of value added in manufacturing),Economic Policy &  External Debt ,World Development Indicators
Child employment in agriculture (% of economically active children ages 7-14),Labor & Social Protection,World Development Indicators
Child employment in agriculture (% of economically active children ages 7-14),Labor & Social Protection ,World Development Indicators
"Child employment in agriculture, female (% of female economically active children ages 7-14)",Gender,World Development Indicators
"Child employment in agriculture, female (% of female economically active children ages 7-14)",Labor & Social Protection,World Development Indicators
"Child employment in agriculture, female (% of female economically active children ages 7-14)",Labor & Social Protection ,World Development Indicators
"Child employment in agriculture, male (% of male economically active children ages 7-14)",Gender,World Development Indicators
"Child employment in agriculture, male (% of male economically active children ages 7-14)",Labor & Social Protection,World Development Indicators
"Child employment in agriculture, male (% of male economically active children ages 7-14)",Labor & Social Protection ,World Development Indicators
Child employment in manufacturing (% of economically active children ages 7-14),Labor & Social Protection,World Development Indicators
Child employment in manufacturing (% of economically active children ages 7-14),Labor & Social Protection ,World Development Indicators
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",Gender,World Development Indicators
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",Labor & Social Protection,World Development Indicators
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",Labor & Social Protection ,World Development Indicators
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",Gender,World Development Indicators
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",Labor & Social Protection,World Development Indicators
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",Labor & Social Protection ,World Development Indicators
Child employment in services (% of economically active children ages 7-14),Labor & Social Protection,World Development Indicators
Child employment in services (% of economically active children ages 7-14),Labor & Social Protection ,World Development Indicators
"Child employment in services, female (% of female economically active children ages 7-14)",Gender,World Development Indicators
"Child employment in services, female (% of female economically active children ages 7-14)",Labor & Social Protection,World Development Indicators
"Child employment in services, female (% of female economically active children ages 7-14)",Labor & Social Protection ,World Development Indicators
"Child employment in services, male (% of male economically active children ages 7-14)",Gender,World Development Indicators
"Child employment in services, male (% of male economically active children ages 7-14)",Labor & Social Protection,World Development Indicators
"Child employment in services, male (% of male economically active children ages 7-14)",Labor & Social Protection ,World Development Indicators
Children (0-14) living with HIV,Health,World Development Indicators
Children (0-14) living with HIV,Health ,World Development Indicators
"Children in employment, female (% of female children ages 7-14)",Gender,World Development Indicators
"Children in employment, female (% of female children ages 7-14)",Social Development,World Development Indicators
"Children in employment, female (% of female children ages 7-14)",Social Development ,World Development Indicators
"Children in employment, male (% of male children ages 7-14)",Gender,World Development Indicators
"Children in employment, male (% of male children ages 7-14)",Social Development,World Development Indicators
"Children in employment, male (% of male children ages 7-14)",Social Development ,World Development Indicators
"Children in employment, self-employed (% of children in employment, ages 7-14)",Labor & Social Protection,World Development Indicators
"Children in employment, self-employed (% of children in employment, ages 7-14)",Labor & Social Protection ,World Development Indicators
"Children in employment, study and work (% of children in employment, ages 7-14)",Social Development,World Development Indicators
"Children in employment, study and work (% of children in employment, ages 7-14)",Social Development ,World Development Indicators
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",Gender,World Development Indicators
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",Social Development,World Development Indicators
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",Social Development ,World Development Indicators
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",Gender,World Development Indicators
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",Social Development,World Development Indicators
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",Social Development ,World Development Indicators
"Children in employment, total (% of children ages 7-14)",Social Development,World Development Indicators
"Children in employment, total (% of children ages 7-14)",Social Development ,World Development Indicators
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",Labor & Social Protection,World Development Indicators
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",Labor & Social Protection ,World Development Indicators
"Children in employment, wage workers (% of children in employment, ages 7-14)",Labor & Social Protection,World Development Indicators
"Children in employment, wage workers (% of children in employment, ages 7-14)",Labor & Social Protection ,World Development Indicators
"Children in employment, work only (% of children in employment, ages 7-14)",Social Development,World Development Indicators
"Children in employment, work only (% of children in employment, ages 7-14)",Social Development ,World Development Indicators
"Children in employment, work only, female (% of female children in employment, ages 7-14)",Gender,World Development Indicators
"Children in employment, work only, female (% of female children in employment, ages 7-14)",Social Development,World Development Indicators
"Children in employment, work only, female (% of female children in employment, ages 7-14)",Social Development ,World Development Indicators
"Children in employment, work only, male (% of male children in employment, ages 7-14)",Gender,World Development Indicators
"Children in employment, work only, male (% of male children in employment, ages 7-14)",Social Development,World Development Indicators
"Children in employment, work only, male (% of male children in employment, ages 7-14)",Social Development ,World Development Indicators
"Children out of school, primary",Education,World Development Indicators
"Children out of school, primary",Education ,World Development Indicators
"Children out of school, primary, female",Education,World Development Indicators
"Children out of school, primary, female",Education ,World Development Indicators
"Children out of school, primary, female",Gender,World Development Indicators
